Region;Brott;År;Period;Antal;/100 000 inv
Danderyd kommun;5 kap. Ärekränkningsbrott;2022;Jul;1;3;
Danderyd kommun;5 kap. Ärekränkningsbrott;2022;Aug;1;3;
Danderyd kommun;5 kap. Ärekränkningsbrott;2022;Sep;2;6;
Danderyd kommun;5 kap. Ärekränkningsbrott;2022;Okt;1;3;
Danderyd kommun;5 kap. Ärekränkningsbrott;2022;Nov;0;0;
Danderyd kommun;5 kap. Ärekränkningsbrott;2022;Dec;0;0;
Danderyd kommun;3-7 kap. Brott mot person;2022;Jan;29;89;
Danderyd kommun;3-7 kap. Brott mot person;2022;Feb;34;104;
Danderyd kommun;3-7 kap. Brott mot person;2022;Mar;29;89;
Danderyd kommun;3-7 kap. Brott mot person;2022;Apr;21;64;
Danderyd kommun;3-7 kap. Brott mot person;2022;Maj;34;104;
Danderyd kommun;3-7 kap. Brott mot person;2022;Jun;42;128;
Danderyd kommun;3-7 kap. Brott mot person;2022;Jul;30;92;
Danderyd kommun;3-7 kap. Brott mot person;2022;Aug;28;86;
Danderyd kommun;3-7 kap. Brott mot person;2022;Sep;73;223;
Danderyd kommun;3-7 kap. Brott mot person;2022;Okt;44;134;
Danderyd kommun;3-7 kap. Brott mot person;2022;Nov;40;122;
Danderyd kommun;3-7 kap. Brott mot person;2022;Dec;29;89;
Danderyd kommun;6 kap. Sexualbrott;2022;Jan;2;6;
Danderyd kommun;6 kap. Sexualbrott;2022;Feb;6;18;
Danderyd kommun;6 kap. Sexualbrott;2022;Mar;2;6;
Danderyd kommun;6 kap. Sexualbrott;2022;Apr;0;0;
Danderyd kommun;6 kap. Sexualbrott;2022;Maj;2;6;
Danderyd kommun;6 kap. Sexualbrott;2022;Jun;4;12;
Danderyd kommun;6 kap. Sexualbrott;2022;Jul;5;15;
Danderyd kommun;6 kap. Sexualbrott;2022;Aug;6;18;
Danderyd kommun;6 kap. Sexualbrott;2022;Sep;5;15;
Danderyd kommun;6 kap. Sexualbrott;2022;Okt;4;12;
Danderyd kommun;6 kap. Sexualbrott;2022;Nov;3;9;
Danderyd kommun;6 kap. Sexualbrott;2022;Dec;0;0;
Danderyd kommun;3-7 kap. Brott mot person;2022;Jan;29;89;
Danderyd kommun;3-7 kap. Brott mot person;2022;Feb;34;104;
Danderyd kommun;3-7 kap. Brott mot person;2022;Mar;29;89;
Danderyd kommun;3-7 kap. Brott mot person;2022;Apr;21;64;
Danderyd kommun;3-7 kap. Brott mot person;2022;Maj;34;104;
Danderyd kommun;3-7 kap. Brott mot person;2022;Jun;42;128;
Danderyd kommun;3-7 kap. Brott mot person;2022;Jul;30;92;
Danderyd kommun;3-7 kap. Brott mot person;2022;Aug;28;86;
Danderyd kommun;3-7 kap. Brott mot person;2022;Sep;73;223;
Danderyd kommun;3-7 kap. Brott mot person;2022;Okt;44;134;
Danderyd kommun;3-7 kap. Brott mot person;2022;Nov;40;122;
Danderyd kommun;3-7 kap. Brott mot person;2022;Dec;29;89;
Danderyd kommun;7 kap. Brott mot familj;2022;Jan;0;0;
Danderyd kommun;7 kap. Brott mot familj;2022;Feb;0;0;
Danderyd kommun;7 kap. Brott mot familj;2022;Mar;0;0;
Danderyd kommun;7 kap. Brott mot familj;2022;Apr;0;0;
Danderyd kommun;7 kap. Brott mot familj;2022;Maj;0;0;
Danderyd kommun;7 kap. Brott mot familj;2022;Jun;0;0;
Danderyd kommun;7 kap. Brott mot familj;2022;Jul;0;0;
Danderyd kommun;7 kap. Brott mot familj;2022;Aug;0;0;
Danderyd kommun;7 kap. Brott mot familj;2022;Sep;1;3;
Danderyd kommun;7 kap. Brott mot familj;2022;Okt;0;0;
Danderyd kommun;7 kap. Brott mot familj;2022;Nov;0;0;
Danderyd kommun;7 kap. Brott mot familj;2022;Dec;0;0;
Haninge kommun;3-7 kap. Brott mot person;2022;Jan;227;235;
Haninge kommun;3-7 kap. Brott mot person;2022;Feb;197;204;
Haninge kommun;3-7 kap. Brott mot person;2022;Mar;214;221;
Haninge kommun;3-7 kap. Brott mot person;2022;Apr;242;250;
Haninge kommun;3-7 kap. Brott mot person;2022;Maj;253;262;
Haninge kommun;3-7 kap. Brott mot person;2022;Jun;215;222;
Haninge kommun;3-7 kap. Brott mot person;2022;Jul;198;205;
Haninge kommun;3-7 kap. Brott mot person;2022;Aug;256;265;
Haninge kommun;3-7 kap. Brott mot person;2022;Sep;250;259;
Haninge kommun;3-7 kap. Brott mot person;2022;Okt;226;234;
Haninge kommun;3-7 kap. Brott mot person;2022;Nov;183;189;
Haninge kommun;3-7 kap. Brott mot person;2022;Dec;188;194;
Haninge kommun;3-7 kap. Brott mot person;2022;Jan;227;235;
Haninge kommun;3-7 kap. Brott mot person;2022;Feb;197;204;
Haninge kommun;3-7 kap. Brott mot person;2022;Mar;214;221;
Haninge kommun;3-7 kap. Brott mot person;2022;Apr;242;250;
Haninge kommun;3-7 kap. Brott mot person;2022;Maj;253;262;
Haninge kommun;3-7 kap. Brott mot person;2022;Jun;215;222;
Haninge kommun;3-7 kap. Brott mot person;2022;Jul;198;205;
Haninge kommun;3-7 kap. Brott mot person;2022;Aug;256;265;
Haninge kommun;3-7 kap. Brott mot person;2022;Sep;250;259;
Haninge kommun;3-7 kap. Brott mot person;2022;Okt;226;234;
Haninge kommun;3-7 kap. Brott mot person;2022;Nov;183;189;
Haninge kommun;3-7 kap. Brott mot person;2022;Dec;188;194;
Haninge kommun;3 kap. Brott mot liv och hälsa;2022;Jan;76;79;
Haninge kommun;3 kap. Brott mot liv och hälsa;2022;Feb;67;69;
Haninge kommun;3 kap. Brott mot liv och hälsa;2022;Mar;79;82;
Haninge kommun;3 kap. Brott mot liv och hälsa;2022;Apr;86;89;
Haninge kommun;3 kap. Brott mot liv och hälsa;2022;Maj;90;93;
Haninge kommun;3 kap. Brott mot liv och hälsa;2022;Jun;90;93;
Haninge kommun;3 kap. Brott mot liv och hälsa;2022;Jul;64;66;
Haninge kommun;3 kap. Brott mot liv och hälsa;2022;Aug;101;104;
Haninge kommun;3 kap. Brott mot liv och hälsa;2022;Sep;105;109;
Haninge kommun;3 kap. Brott mot liv och hälsa;2022;Okt;87;90;
Haninge kommun;3 kap. Brott mot liv och hälsa;2022;Nov;61;63;
Haninge kommun;3 kap. Brott mot liv och hälsa;2022;Dec;67;69;
Haninge kommun;3-7 kap. Brott mot person;2022;Jan;227;235;
Haninge kommun;3-7 kap. Brott mot person;2022;Feb;197;204;
Haninge kommun;3-7 kap. Brott mot person;2022;Mar;214;221;
Haninge kommun;3-7 kap. Brott mot person;2022;Apr;242;250;
Haninge kommun;3-7 kap. Brott mot person;2022;Maj;253;262;
Haninge kommun;3-7 kap. Brott mot person;2022;Jun;215;222;
Haninge kommun;3-7 kap. Brott mot person;2022;Jul;198;205;
Haninge kommun;3-7 kap. Brott mot person;2022;Aug;256;265;
Haninge kommun;3-7 kap. Brott mot person;2022;Sep;250;259;
Haninge kommun;3-7 kap. Brott mot person;2022;Okt;226;234;
Haninge kommun;3-7 kap. Brott mot person;2022;Nov;183;189;
